Region,Market,Year ending December 2018,Year-ending-December-2019,2019 change,Year-ending-December-2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change,Year ending December 2018,Year ending December 2019,2019 change,Year ending December 2020,2020 change
North Coast NSW,Domestic day,"7,416",8510,15%,5558,-35%,-,-,-100%,-,-100%,808,961,19%,669,-30%
North Coast NSW,Total,"13,479",15287,13%,9931,-35%,"24,694","28,463",15%,"19,227",-33%,"4,521","5,174",14%,"3,717",-28%
North West,International,80,77,-3%,23,-70%,535,599,12%,175,-71%,34,35,3%,16,-55%
North West,Domestic overnight,560,590,5%,446,-25%,"2,092","1,767",-16%,"1,351",-24%,349,285,-18%,226,-21%
North West,Domestic day,"1,172",1492,27%,939,-37%,-,-,-100%,-,-100%,129,189,46%,90,-52%
North West,Total,"1,812",2159,19%,1408,-35%,"2,626","2,366",-10%,"1,527",-36%,512,509,-1%,331,-35%
Not allocated to Australia,International,"7,819",7957,2%,1527,-81%,-,-,-100%,-,-100%,"12,183","12,550",3%,"2,751",-78%
Not allocated to Australia,Domestic overnight,-,-,-100%,-,-100%,-,-,-100%,-,-100%,-,-,-100%,-,-100%
Not allocated to Australia,Domestic day,-,-,-100%,-,-100%,-,-,-100%,-,-100%,-,-,-100%,-,-100%
Not allocated to Australia,Total,"7,819",7957,2%,1527,-81%,-,-,-100%,-,-100%,"12,183","12,550",3%,"2,751",-78%
